RESDATE,insurance_cost_millions,QBFASSET,CITY,FAILDATE,CERT,RESTYPE,SAVR,bank_name,ID,fail_year,fail_decade
,,374.0,EAST PEORIA,1934-05-28,,FAILURE,FDIC,FON DU LAC STATE BANK,1,1934,1930
,,2305.0,GRANTWOOD,1935-01-03,,FAILURE,FDIC,CLIFFSIDE PARK TITLE GUARANTEE & TRUST CO.,10,1935,1930
,,,CUMMINGS,1936-12-21,,FAILURE,FDIC,THE CUMMINGS STATE BANK,100,1936,1930
5/31/1985,1653.0,14542.0,TAYLOR,1985-05-31,13797.0,FAILURE,FDIC,BANK OF TAYLOR,1000,1985,1980
5/31/1985,1656.0,6795.0,FAIRFIELD,1985-05-31,18388.0,FAILURE,FDIC,FAIRFIELD STATE BANK,1001,1985,1980
5/31/1985,1118.0,6570.0,EDGAR,1985-05-31,18738.0,FAILURE,FDIC,SECURITY STATE BANK,1002,1985,1980
5/31/1985,165.0,3552.0,OAK,1985-05-31,19117.0,FAILURE,FDIC,SCROGGIN & COMPANY BANK,1003,1985,1980
4/10/1987,327146.0,2308903.0,SAN DIEGO,1985-05-31,30965.0,ASSISTANCE,FSLIC,CENTRAL S&LA,1004,1985,1980
4/30/1987,223825.0,1492644.0,BEVERLY HILLS,1985-06-06,28621.0,ASSISTANCE,FSLIC,SOUTHERN CALIFORNIA  S&LA,1005,1985,1980
6/7/1985,3638.0,22747.0,NASHVILLE,1985-06-07,31323.0,FAILURE,FSLIC,COMMUNITY FS&LA,1006,1985,1980
6/7/1985,1529.0,4816.0,KNOXVILLE,1985-06-07,31674.0,FAILURE,FSLIC,MAGNOLIA FS&LA,1007,1985,1980
6/11/1985,10568.0,37937.0,RIVERTON,1985-06-11,18551.0,FAILURE,FDIC,AMERICAN NATIONAL BANK OF RIVERTON,1008,1985,1980
6/13/1985,2827.0,8325.0,EDNA,1985-06-13,4657.0,FAILURE,FDIC,THE FIRST STATE BANK,1009,1985,1980
,,,MAKOTI,1936-12-21,,FAILURE,FDIC,RESERVATION STATE BANK,101,1936,1930
6/14/1985,8386.0,41598.0,BENSON,1985-06-14,1602.0,FAILURE,FDIC,SWIFT COUNTY BANK,1010,1985,1980
6/14/1985,2.0,30733.0,DODGEVILLE,1985-06-14,11613.0,FAILURE,FDIC,STRONG'S BANK,1011,1985,1980
6/20/1985,1280.0,4267.0,DEXTER,1985-06-20,10507.0,FAILURE,FDIC,FARMERS STATE BANK OF DEXTER,1012,1985,1980
6/21/1985,32615.0,97808.0,OKLAHOMA CITY,1985-06-21,4165.0,FAILURE,FDIC,"FIRST CITY BANK, N.A.",1013,1985,1980
6/21/1985,810.0,7158.0,URBANA,1985-06-21,13153.0,FAILURE,FDIC,URBANA SAVINGS BANK,1014,1985,1980
6/21/1985,0.0,146254.0,NEW YORK,1985-06-21,22452.0,FAILURE,FDIC,GOLDEN PACIFIC NATIONAL BANK,1015,1985,1980
5/26/1988,453308.0,1570628.0,SAN CARLOS,1985-06-21,28745.0,ASSISTANCE,FSLIC,EUREKA FS&LA,1016,1985,1980
5/2/1986,156154.0,278335.0,LAKE PROVIDENCE,1985-06-25,28913.0,FAILURE,FSLIC,"SUN BELT FEDERAL BANK, FSB",1017,1985,1980
6/20/1986,73507.0,118050.0,NEW ORLEANS,1985-06-25,31480.0,FAILURE,FSLIC,NEW ORLEANS S&LA,1018,1985,1980
6/20/1986,166227.0,211301.0,NEW ORLEANS,1985-06-25,31891.0,FAILURE,FSLIC,AUDUBON S&LA,1019,1985,1980
,,,MAX,1936-12-21,,FAILURE,FDIC,FIRST STATE BANK OF MAX,102,1936,1930
6/20/1986,29713.0,47936.0,BATON ROUGE,1985-06-25,32015.0,FAILURE,FSLIC,COMMUNITY FS&LA,1020,1985,1980
6/20/1986,89333.0,141383.0,COVINGTON,1985-06-25,32029.0,FAILURE,FSLIC,NORTHLAKE S&LA,1021,1985,1980
6/20/1986,53664.0,89114.0,NEW ORLEANS,1985-06-25,32098.0,FAILURE,FSLIC,CRESCENT SAVINGS BANK,1022,1985,1980
6/26/1985,16154.0,91832.0,SHAWNEE MSN,1985-06-26,31940.0,ASSISTANCE,FSLIC,CENTURY SA,1023,1985,1980
6/28/1985,2912.0,21123.0,TRACY CITY,1985-06-28,4968.0,FAILURE,FDIC,FIRST BANK & TRUST,1024,1985,1980
7/1/1985,4110.0,18387.0,BATESVILLE,1985-07-01,31839.0,ASSISTANCE,FSLIC,CITIZENS S&LA,1025,1985,1980
7/2/1985,2479.0,8392.0,MADISON,1985-07-02,10510.0,FAILURE,FDIC,MADISON BANK,1026,1985,1980
7/5/1985,9086.0,43290.0,JACKSONVILLE,1985-07-05,14837.0,FAILURE,FDIC,THE FIRST NATIONAL BANK OF JACKSONVILLE,1027,1985,1980
7/11/1985,6920.0,17776.0,OKLAHOMA CITY,1985-07-11,22163.0,FAILURE,FDIC,CROSSROADS STATE BANK,1028,1985,1980
7/18/1985,4130.0,18213.0,DARROUZETT,1985-07-18,3166.0,FAILURE,FDIC,THE FIRST NATIONAL BANK OF DAROUZZET,1029,1985,1980
,,,POWERS LAKE,1936-12-21,,FAILURE,FDIC,FIRST STATE BANK OF POWERS LAKE,103,1936,1930
7/18/1985,5324.0,10137.0,ESKRIDGE,1985-07-18,17962.0,FAILURE,FDIC,ESKRIDGE STATE BANK,1030,1985,1980
9/12/1986,419225.0,1516512.0,LAKE WORTH,1985-07-18,32016.0,FAILURE,FSLIC,"SUNRISE, S&LA",1031,1985,1980
7/19/1985,2214.0,5381.0,LINNEUS,1985-07-19,10625.0,FAILURE,FDIC,LINN COUNTY BANK,1032,1985,1980
7/19/1985,1330.0,3861.0,BLACK HAWK,1985-07-19,22851.0,FAILURE,FDIC,GILPIN COUNTY BANK,1033,1985,1980
4/29/1986,22906.0,527685.0,FLUSHING,1985-07-19,28504.0,ASSISTANCE,FSLIC,FLUSHING FS&LA,1034,1985,1980
7/23/1985,2229.0,22379.0,ONAGA,1985-07-23,4745.0,FAILURE,FDIC,THE FIRST NATIONAL BANK OF ONAGA,1035,1985,1980
7/23/1985,4459.0,18686.0,GLENROCK,1985-07-23,18928.0,FAILURE,FDIC,FIRST NATIONAL BANK OF GLENROCK,1036,1985,1980
7/25/1985,1455.0,31185.0,EL DORADO,1985-07-25,12423.0,FAILURE,FDIC,CITIZENS STATE BANK OF EL DORADO,1037,1985,1980
7/25/1985,6351.0,25707.0,OVERLAND PARK,1985-07-25,20699.0,FAILURE,FDIC,KANSAS AMERICAN BANK,1038,1985,1980
8/23/1988,829701.0,1635150.0,SAN MATEO,1985-07-25,28490.0,ASSISTANCE,FSLIC,BELL  S&LA,1039,1985,1980
,,82.0,HOUGHTON,1937-01-12,,FAILURE,FDIC,BANK OF HOUGHTON,104,1937,1930
8/1/1985,3568.0,18365.0,HOUSTON,1985-08-01,18862.0,FAILURE,FDIC,RIVERSIDE NATIONAL BANK OF HOUSTON,1040,1985,1980
8/1/1985,8800.0,175148.0,PENDLETON,1985-08-01,29071.0,ASSISTANCE,FSLIC,WESTERN HERITAGE FS&LA,1041,1985,1980
8/2/1985,7462.0,23210.0,ROUND LAKE,1985-08-02,10970.0,FAILURE,FDIC,FARMERS STATE BANK OF ROUND LAKE,1042,1985,1980
8/2/1985,320.0,12845.0,RISING CITY,1985-08-02,11828.0,FAILURE,FDIC,FARMERS STATE BANK,1043,1985,1980
8/2/1985,177863.0,185009.0,TEMPLE,1985-08-02,29527.0,FAILURE,FSLIC,BELL SAVINGS BANC,1044,1985,1980
8/6/1985,213.0,5205.0,MINEOLA,1985-08-06,14180.0,FAILURE,FDIC,MINEOLA STATE BANK,1045,1985,1980
9/29/1988,371337.0,708261.0,SANTA ANA,1985-08-07,29540.0,ASSISTANCE,FSLIC,BUTTERFIELD  S&LA,1046,1985,1980
8/8/1985,6913.0,34976.0,MIDWEST CITY,1985-08-08,18907.0,FAILURE,FDIC,SECURITY BANK & TRUST COMPANY,1047,1985,1980
8/9/1985,2181.0,11984.0,FARMERSVILLE,1985-08-09,10085.0,FAILURE,FDIC,STATE BANK OF FARMERSVILLE,1048,1985,1980
2/28/1986,56310.0,48363.0,DENVER,1985-08-09,31906.0,FAILURE,FSLIC,SIERRA FS&LA,1049,1985,1980
,,,FORMAN,1937-01-14,,FAILURE,FDIC,SARGENT COUNTY BANK,105,1937,1930
8/14/1985,1571.0,6237.0,HERNDON,1985-08-14,15380.0,FAILURE,FDIC,STATE BANK OF HERNDON,1050,1985,1980
8/15/1985,5328.0,20544.0,FARMERS BRANCH,1985-08-15,24761.0,FAILURE,FDIC,"PARK WEST BANK, N.A.",1051,1985,1980
8/16/1985,0.0,77816.0,ANDALUSIA,1985-08-16,55.0,ASSISTANCE,FDIC,THE COMMERCIAL BANK,1052,1985,1980
8/16/1985,12908.0,26949.0,KALISPELL,1985-08-16,32055.0,FAILURE,FSLIC,MONTANA S&LA,1053,1985,1980
4/27/1987,148930.0,368163.0,GUERNEVILLE,1985-08-20,31818.0,FAILURE,FSLIC,CENTENNIAL  S&LA,1054,1985,1980
8/23/1985,3042.0,9604.0,BRONSON,1985-08-23,10501.0,FAILURE,FDIC,THE BANK OF BRONSON,1055,1985,1980
8/23/1985,147947.0,188137.0,KENNER,1985-08-23,32083.0,FAILURE,FSLIC,ALLIANCE FS&LA,1056,1985,1980
8/28/1985,868.0,6206.0,CARDWELL,1985-08-28,16084.0,FAILURE,FDIC,CARDWELL STATE BANK,1057,1985,1980
8/28/1985,1367.0,9116.0,HAYTI,1985-08-28,19574.0,FAILURE,FDIC,MISSOURI DELTA BANK,1058,1985,1980
8/8/1986,96609.0,284494.0,PORTERVILLE,1985-08-28,31749.0,FAILURE,FSLIC,PRESIDIO  S&LA,1059,1985,1980
,,335.0,TRENTON,1937-02-10,,FAILURE,FDIC,FARMERS BANK OF TRENTON,106,1937,1930
8/30/1985,54020.0,229302.0,HOBBS,1985-08-30,16798.0,FAILURE,FDIC,"MONCOR BANK, N.A.",1060,1985,1980
5/9/1986,100841.0,378366.0,SEATTLE,1985-08-30,28124.0,FAILURE,FSLIC,WESTSIDE FS&LA,1061,1985,1980
9/3/1985,3000.0,133824.0,MATTESON,1985-09-03,27766.0,ASSISTANCE,FSLIC,CITIZENS FS&LA,1062,1985,1980
9/4/1985,3933.0,25637.0,LORETTO,1985-09-04,6096.0,FAILURE,FDIC,THE BANK OF LORETTO,1063,1985,1980
9/6/1985,2748.0,10887.0,CLIFTON,1985-09-06,23209.0,FAILURE,FDIC,BANK OF CLIFTON,1064,1985,1980
9/9/1988,738898.0,436548.0,HOUSTON,1985-09-06,30676.0,ASSISTANCE,FSLIC,HEIGHTS SAVINGS ASSOCIATION,1065,1985,1980
9/12/1985,1830.0,14785.0,DICKSON,1985-09-12,20490.0,FAILURE,FDIC,FIRST SECURITY BANK OF DICKSON,1066,1985,1980
9/12/1985,10629.0,33293.0,ROSWELL,1985-09-12,24106.0,FAILURE,FDIC,"MONCOR BANK, N.A.",1067,1985,1980
9/13/1985,0.0,29482.0,RAMAPO,1985-09-13,21562.0,FAILURE,FDIC,THE FIRST NATIONAL BANK OF ROCKLAND,1068,1985,1980
9/18/1985,657.0,4735.0,ELBA,1985-09-18,12743.0,FAILURE,FDIC,ELBA STATE BANK,1069,1985,1980
,,205.0,CORSICA,1937-02-18,,FAILURE,FDIC,FARMERS STATE BANK,107,1937,1930
12/31/1988,18485.0,122108.0,GLEN ELLYN,1985-09-20,30916.0,ASSISTANCE,FSLIC,GLEN ELLYN  S&LA,1070,1985,1980
9/25/1985,8340.0,28153.0,SEDAN,1985-09-25,1148.0,FAILURE,FDIC,THE SEDAN STATE BANK,1071,1985,1980
9/27/1985,1723.0,4063.0,TERRAL,1985-09-27,4207.0,FAILURE,FDIC,THE FIRST NATIONLAL BANK IN TERRAL,1072,1985,1980
9/27/1985,8021.0,27831.0,DENTON,1985-09-27,18760.0,FAILURE,FDIC,WESTERN STATE BANK,1073,1985,1980
9/27/1985,776.0,57071.0,SPRINGFIELD,1985-09-27,31652.0,ASSISTANCE,FSLIC,FAMILY FS&LA,1074,1985,1980
7/14/1986,6070.0,45574.0,WINDSOR,1985-09-27,32207.0,ASSISTANCE,FSLIC,GOLDEN PACIFIC S&LA,1075,1985,1980
10/1/1985,334542.0,5277472.0,NEW YORK,1985-10-01,15919.0,ASSISTANCE,FDIC,BOWERY SAVINGS BANK,1076,1985,1980
10/1/1985,5250.0,116047.0,BATON ROUGE,1985-10-01,27873.0,ASSISTANCE,FSLIC,BATON ROUGE S&LA,1077,1985,1980
10/1/1985,19536.0,169057.0,ALBERQUERQUE,1985-10-01,30922.0,ASSISTANCE,FSLIC,SECURITY FS&LA,1078,1985,1980
10/3/1985,2699.0,20523.0,HIALEAH GARDENS,1985-10-03,24573.0,FAILURE,FDIC,"TOWER BANK, N.A.",1079,1985,1980
,,92.0,AKASKA,1937-02-18,,FAILURE,FDIC,AKASKA STATE BANK,108,1937,1930
10/4/1985,17500.0,231947.0,PORTLAND,1985-10-04,28422.0,ASSISTANCE,FSLIC,SUN S&LA,1080,1985,1980
10/10/1985,8576.0,22438.0,CANTON,1985-10-10,15756.0,FAILURE,FDIC,BANK OF CANTON,1081,1985,1980
10/11/1985,4260.0,18470.0,SARATOGA,1985-10-11,525.0,FAILURE,FDIC,SARATOGA STATE BANK,1082,1985,1980
10/11/1985,27105.0,193485.0,ST. JOSEPH,1985-10-11,4602.0,FAILURE,FDIC,THE FIRST NATIONAL BANK OF ST. JOSEPH,1083,1985,1980
10/17/1985,2763.0,10794.0,AFTON,1985-10-17,2321.0,FAILURE,FDIC,FARMERS STATE BANK IN AFTON,1084,1985,1980
10/18/1985,997.0,3907.0,KANARANZI,1985-10-18,12189.0,FAILURE,FDIC,FARMERS STATE BANK OF KANARANZI,1085,1985,1980
10/18/1985,5621.0,12344.0,JET,1985-10-18,14670.0,FAILURE,FDIC,FIRST STATE BANK,1086,1985,1980
10/18/1985,33895.0,93459.0,OGDEN,1985-10-18,19383.0,FAILURE,FDIC,THE CITIZENS BANK,1087,1985,1980
10/18/1985,3103.0,15846.0,EARLY,1985-10-18,23024.0,FAILURE,FDIC,THE EARLY BANK,1088,1985,1980
7/18/1988,137801.0,590288.0,DAVIS,1985-10-18,32032.0,FAILURE,FSLIC,FARMERS SAVINGS BANK,1089,1985,1980
,,154.0,LEBANON,1937-02-20,,FAILURE,FDIC,THE CITIZENS STATE BANK OF LEBANON,109,1937,1930
10/28/1985,10399.0,28792.0,OAKRIDGE,1985-10-28,31841.0,ASSISTANCE,FSLIC,SECURITY TRUST S&LA,1090,1985,1980
11/1/1985,1192.0,12890.0,EARLY,1985-11-01,10116.0,FAILURE,FDIC,EARLY SAVINGS BANK,1091,1985,1980
11/1/1985,12300.0,18676.0,LANDER,1985-11-01,23218.0,FAILURE,FDIC,YELLOWSTONE STATE BANK,1092,1985,1980
11/1/1985,7453.0,16567.0,AURORA,1985-11-01,23892.0,FAILURE,FDIC,THE AURORA BANK,1093,1985,1980
11/1/1985,1763.0,51877.0,CHEHALIS,1985-11-01,27972.0,ASSISTANCE,FSLIC,LEWIS FS&LA,1094,1985,1980
11/8/1985,714.0,6833.0,AUBURN,1985-11-08,14271.0,FAILURE,FDIC,AUBURN SAVINGS BANK,1095,1985,1980
11/8/1985,12162.0,47187.0,HOUSTON,1985-11-08,18859.0,FAILURE,FDIC,NORTHSHORE BANK,1096,1985,1980
11/14/1985,7904.0,31995.0,TEAGUE,1985-11-14,5550.0,FAILURE,FDIC,FIRST NATIONAL BANK OF TEAGUE,1097,1985,1980
11/21/1985,6907.0,15459.0,DILL CITY,1985-11-21,2306.0,FAILURE,FDIC,THE DILL STATE BANK,1098,1985,1980
11/21/1985,3983.0,18362.0,OBERLIN,1985-11-21,4740.0,FAILURE,FDIC,DECATAUR COUNTY NATIONAL BANK OF OBERLIN,1099,1985,1980
,,387.0,HERNDON,1935-01-09,,FAILURE,FDIC,THE NATIONAL BANK OF HERNDON,11,1935,1930
,,,ISMAY,1937-02-20,,FAILURE,FDIC,THE FIRST NATIONAL BANK OF ISMAY,110,1937,1930
11/21/1985,1955.0,6167.0,CLARKSDALE,1985-11-21,8562.0,FAILURE,FDIC,THE CLARKSDALE BANK OF CLARKDALE,1100,1985,1980
11/21/1985,10042.0,32647.0,LA CROSSE,1985-11-21,13160.0,FAILURE,FDIC,THE FARMERS AND MERCHANTS STATE BANK OF RU,1101,1985,1980
11/22/1985,2088.0,11722.0,CHESTER,1985-11-22,11931.0,FAILURE,FDIC,CHESTER STATE BANK,1102,1985,1980
11/22/1985,0.0,10907.0,LEO,1985-11-22,20533.0,FAILURE,FDIC,ALLEN COUNTY BANK AND TRUST COMPANY,1103,1985,1980
11/22/1985,3229.0,24114.0,SAN DIEGO,1985-11-22,21691.0,FAILURE,FDIC,CALIFORNIA HERITAGE BANK,1104,1985,1980
12/22/1988,112620.0,114611.0,HEREFORD,1985-11-25,30952.0,ASSISTANCE,FSLIC,HI-PLAINS  S&LA,1105,1985,1980
10/14/1988,31089.0,306069.0,ANN ARBOR,1985-11-26,31761.0,FAILURE,FSLIC,USM (U.S. MUTUAL) S&LA,1106,1985,1980
12/1/1985,18018.0,461380.0,SEATTLE,1985-12-01,28890.0,ASSISTANCE,FSLIC,CITIZENS FS&LA,1107,1985,1980
12/2/1985,10000.0,115303.0,SIOUX CITY,1985-12-02,27622.0,ASSISTANCE,FSLIC,HOME FS&LA,1108,1985,1980
12/2/1985,48882.0,37978.0,MOORHEAD,1985-12-02,30731.0,ASSISTANCE,FSLIC,MIDLAND FS&LA,1109,1985,1980
,,384.0,RIO,1937-03-26,,FAILURE,FDIC,RIO STATE BANK,111,1937,1930
12/2/1985,21238.0,106672.0,PADUCAH,1985-12-02,30914.0,ASSISTANCE,FSLIC,HOME FS&LA,1110,1985,1980
1/29/1988,85218.0,239709.0,SALEM,1985-12-04,31792.0,FAILURE,FSLIC,CITIZENS S&LA,1111,1985,1980
12/5/1985,1646.0,8040.0,BROKEN BOW,1985-12-05,1433.0,FAILURE,FDIC,SECURITY STATE BANK,1112,1985,1980
12/5/1985,5501.0,28684.0,HENNESSY,1985-12-05,4115.0,FAILURE,FDIC,THE FARMERS AND MERCHANTS NATIONAL BANK OF,1113,1985,1980
1/7/1987,64079.0,451432.0,HARRISON,1985-12-06,31321.0,FAILURE,FSLIC,GUARANTY S&LA,1114,1985,1980
9/16/1988,249036.0,563862.0,CORVALLIS,1985-12-06,31354.0,FAILURE,FSLIC,STATE  FS&LA,1115,1985,1980
12/13/1985,1236.0,4203.0,EXETER,1985-12-13,12460.0,FAILURE,FDIC,"THE FARMERS STATE BANK OF BARRY COUNTY, EX",1116,1985,1980
12/13/1985,16664.0,32024.0,RUIDOSO,1985-12-13,23977.0,FAILURE,FDIC,THE FIRST NATIONAL BANK IN LINCOLN COUNTY,1117,1985,1980
12/13/1985,2090.0,19795.0,LAKE OZARK,1985-12-13,24449.0,FAILURE,FDIC,LAKE NATIONAL BANK,1118,1985,1980
12/19/1985,5818.0,18366.0,PRINCETON,1985-12-19,8299.0,FAILURE,FDIC,PRINCETON STATE BANK,1119,1985,1980
,,192.0,NOONAN,1937-04-03,,FAILURE,FDIC,FIRST INTERNATIONAL BANK,112,1937,1930
12/19/1985,785.0,3324.0,COMSTOCK,1985-12-19,8596.0,FAILURE,FDIC,FARMERS & MERCHANTS BANK,1120,1985,1980
12/19/1985,1573.0,12474.0,SARGENT,1985-12-19,16732.0,FAILURE,FDIC,FARMERS STATE BANK,1121,1985,1980
12/19/1985,1416.0,4376.0,PANAMA,1985-12-19,18726.0,FAILURE,FDIC,BANK OF PANAMA,1122,1985,1980
12/20/1985,2031.0,7736.0,FROST,1985-12-20,1917.0,FAILURE,FDIC,STATE BANK OF FROST,1123,1985,1980
12/20/1985,5899.0,35813.0,GLENDALE,1985-12-20,22698.0,FAILURE,FDIC,FIRST CITY BANK,1124,1985,1980
6/22/1988,10973.0,64709.0,BROWNFIELD,1985-12-20,30507.0,ASSISTANCE,FSLIC,BROWNFIELD  S&LA,1125,1985,1980
8/26/1988,1148063.0,841612.0,LUBBOCK,1985-12-20,31117.0,ASSISTANCE,FSLIC,STATE S&LA OF LUBBOCK,1126,1985,1980
12/31/1985,5723.0,413948.0,WHITE PLAINS,1985-12-31,16074.0,ASSISTANCE,FDIC,HOME SAVINGS BANK,1127,1985,1980
12/31/1985,12854.0,367489.0,TALAHASSEE,1985-12-31,30611.0,ASSISTANCE,FSLIC,SUN FS&LA,1128,1985,1980
1/2/1986,,52751.0,ASHTABULA,1986-01-02,29406.0,ASSISTANCE,FSLIC,FIRST FS&LA,1129,1986,1980
,,628.0,CORPUS CHRISTI,1937-04-08,,FAILURE,FDIC,TEXAS STATE BANK AND TRUST COMPANY,113,1937,1930
