ACTIVE,ROA,REPDTE,ROE,ASSET,state,INTINC,LNCI,NONIX,NETINC,LNLSDEPR,DEP,SC,LNCON,city,RBCRWAJ,LNRE,cert_id,NONII,LNLSNET,EQTOT,ID,loan_to_deposit_ratio,capital_adequacy_ratio,npl_ratio,cost_to_income_ratio,net_interest_margin,risk_tier,size_bucket
1,1.4277806506141748,20231231,15.37,3395126000,OHIO,151752000.0,202426000,78648000.0,47496000.0,52.38582821204284,2498231000,572099000,274517000.0,COLUMBUS,17.34553305615738,507147000,628,56906000.0,1308719000,299323000.0,628_20231231,52.38582821204284,17.34553305615738,4.002832404209218e-06,37.692300319182586,4.469701566304166,LOW,Systemically Important (>$250B)
1,1.1613182491345997,20231231,12.48,2540116000,NORTH CAROLINA,97054000.0,320815000,47547000.0,28782000.0,51.026809510286306,2031779000,842091000,186210000.0,CHARLOTTE,14.477871867837045,326966000,3510,23278000.0,1036752000,236206000.0,3510_20231231,51.026809510286306,14.477871867837045,4.92179513618361e-06,39.51318020144268,3.8208491265753217,LOW,Systemically Important (>$250B)
1,1.2920837808883454,20231231,13.56,1733244000,SOUTH DAKOTA,78188000.0,186893000,45391000.0,21994000.0,62.79136077284976,1416886000,386239000,110096000.0,SIOUX FALLS,14.559885064653724,394038000,3511,21949000.0,889682000,163002000.0,3511_20231231,62.79136077284976,14.559885064653724,7.057730826615551e-06,45.3288994078113,4.511078647899545,LOW,Systemically Important (>$250B)
1,0.6547246393123194,20231231,6.75,1684710000,SOUTH DAKOTA,92383000.0,149011000,39463000.0,11169000.0,47.99634226350315,1327597000,473235000,175588000.0,SIOUX FALLS,15.201189031773342,170888000,7213,16568000.0,637198000,163711000.0,7213_20231231,47.99634226350315,15.201189031773342,7.532406294982588e-06,36.22086993235491,5.483614390607285,LOW,Systemically Important (>$250B)
1,0.872920179030775,20231231,9.7,650658504,OHIO,29693360.0,97761669,18357023.0,5862096.0,70.26078773955238,524697711,153095920,55905346.0,CINCINNATI,15.435755974529682,182233824,6548,10359327.0,368656745,62161185.0,6548_20231231,70.26078773955238,15.435755974529682,1.90585927675221e-05,45.832188487129464,4.56358593908426,LOW,Systemically Important (>$250B)
1,1.0523283565800154,20231231,12.48,557463343,DELAWARE,24200034.0,125994128,13424989.0,5836901.0,74.00452159857636,428985450,133066791,27248844.0,WILMINGTON,12.942269225184658,119358978,6384,6767260.0,317468630,50118019.0,6384_20231231,74.00452159857636,12.942269225184658,2.3310813921544426e-05,43.352154050011606,4.341098711489627,LOW,Systemically Important (>$250B)
1,-0.11840869016821755,20231231,-1.06,527548000,NORTH CAROLINA,24218000.0,85569000,20213000.0,-644000.0,75.68025166060171,407533000,121454000,53982000.0,CHARLOTTE,13.309810265493926,119265000,9846,7505000.0,308422000,58144000.0,9846_20231231,75.68025166060171,13.309810265493926,2.453789018312627e-05,63.717176811776945,4.590672317969171,MEDIUM,Systemically Important (>$250B)
1,1.0723993971842218,20231231,10.6,521102000,NEW YORK,29265000.0,29444000,7149000.0,5475000.0,43.64792690944619,381773000,37663000,31410000.0,NEW YORK,15.782314518772097,26121000,33124,7350000.0,166636000,54820000.0,33124_20231231,43.64792690944619,15.782314518772097,2.619357576360822e-05,19.52478492421139,5.615983051302816,LOW,Systemically Important (>$250B)
1,1.1238971053599591,20231231,10.37,475628639,VIRGINIA,41878375.0,45833091,20092878.0,5242097.0,81.79101170706217,374160480,79315056,216460851.0,MCLEAN,14.332798981580158,29079400,4297,7276421.0,306029642,53187425.0,4297_20231231,81.79101170706217,14.332798981580158,2.6726499816335497e-05,40.87673967765017,8.804847220312148,LOW,Systemically Important (>$250B)
1,0.6083688967849572,20231231,5.16,367174651,DELAWARE,15620787.0,32107647,6678233.0,2306596.0,59.337333614394694,303720159,145474117,34282065.0,WILMINGTON,19.030203813721442,78776851,18409,937645.0,180219444,46280437.0,18409_20231231,59.337333614394694,19.030203813721442,3.292504532107795e-05,40.33131277164408,4.254320650256436,LOW,Systemically Important (>$250B)
1,0.828298693579611,20231231,10.24,332529000,NEW YORK,17106000.0,1579000,9758000.0,2776000.0,11.262302961069356,287126000,126070000,0.0,NEW YORK,16.407424830149683,6209000,639,9091000.0,32337000,27626000.0,639_20231231,11.262302961069356,16.407424830149683,3.482791527064773e-05,37.248539909149905,5.144212985935061,LOW,Systemically Important (>$250B)
1,0.2776340917504064,20231231,7.46,304549000,TEXAS,7671000.0,2075000,1408000.0,906000.0,15.557168868580126,257579000,231864000,9346000.0,WESTLAKE,37.96250999296018,26631000,57450,19000.0,40072000,16079000.0,57450_20231231,15.557168868580126,37.96250999296018,3.8823040698193565e-05,18.309492847854354,2.5188064974765965,LOW,Systemically Important (>$250B)
1,0.7194666427534258,20231231,8.02,293238000,MASSACHUSETTS,9147000.0,3488000,8982000.0,2086000.0,16.170045977416457,227068000,101352000,0.0,BOSTON,16.039433819853695,3069000,14,8712000.0,36717000,25391000.0,14_20231231,16.170045977416457,16.039433819853695,4.403967093557877e-05,50.293969427179576,3.119309230045219,LOW,Systemically Important (>$250B)
1,0.11785531684750301,20231231,0.99,265689963,ILLINOIS,12798076.0,47752315,6904510.0,290518.0,70.74579185823478,206601880,63231639,13097845.0,CHICAGO,13.316429480222268,54003919,16571,1222386.0,146162136,32997404.0,16571_20231231,70.74579185823478,13.316429480222268,4.840227010518975e-05,49.24595209487391,4.816921142030496,LOW,Systemically Important (>$250B)
